,0,1,2,3,4,5,6,7,8
0,1988,1869,1027,0,0,1,0,0,0
1,2004,2011,1043,0,0,1,0,0,0
2,3000,2092,2019,0,0,0,1,0,0
3,3052,2072,2067,0,0,0,1,0,0
4,3029,2231,2211,0,0,0,1,0,0
5,1021,2092,2051,1,0,0,0,0,0
6,1028,2087,2035,1,0,0,0,0,0
7,2041,2087,3075,0,0,0,0,0,1
8,3063,2146,2099,0,0,0,1,0,0
9,1019,2051,2051,1,0,0,0,0,0
10,1018,2087,2035,1,0,0,0,0,0
11,1999,1042,2035,0,1,0,0,0,0
12,2029,2006,3075,0,0,0,0,0,1
13,1970,3099,2115,0,0,0,0,1,0
14,1023,2068,2051,1,0,0,0,0,0
15,1983,1907,1043,0,0,1,0,0,0
16,3043,2111,2035,0,0,0,1,0,0
17,1983,3110,2051,0,0,0,0,1,0
18,3069,1970,1971,0,0,0,1,0,0
19,2117,2976,2067,0,0,0,0,1,0
20,2016,1998,3091,0,0,0,0,0,1
21,2046,2005,3075,0,0,0,0,0,1
22,3014,2040,2067,0,0,0,1,0,0
23,2107,1980,3043,0,0,0,0,0,1
24,1989,3102,2051,0,0,0,0,1,0
25,1991,3090,2099,0,0,0,0,1,0
26,1043,2118,2051,1,0,0,0,0,0
27,1992,2044,1027,0,0,1,0,0,0
28,1993,2112,1043,0,0,1,0,0,0
29,2009,2000,3075,0,0,0,0,0,1
30,1023,2106,2067,1,0,0,0,0,0
31,2073,1981,1043,0,0,1,0,0,0
32,1955,3061,2099,0,0,0,0,1,0
33,2103,1987,3139,0,0,0,0,0,1
34,1968,3096,2083,0,0,0,0,1,0
35,3056,2112,2115,0,0,0,1,0,0
36,1947,1912,1043,0,0,1,0,0,0
37,2085,1944,1043,0,0,1,0,0,0
38,2039,2055,3091,0,0,0,0,0,1
39,3091,2047,2131,0,0,0,1,0,0
40,1021,2108,2035,1,0,0,0,0,0
41,1012,2079,2067,1,0,0,0,0,0
42,1015,2070,2051,1,0,0,0,0,0
43,3028,2100,2019,0,0,0,1,0,0
44,1892,3085,2067,0,0,0,0,1,0
45,3069,2100,2131,0,0,0,1,0,0
46,2028,1946,1059,0,0,1,0,0,0
47,2054,2035,3027,0,0,0,0,0,1
48,2007,3081,2035,0,0,0,0,1,0
49,1988,1889,1027,0,0,1,0,0,0
50,2030,3071,2099,0,0,0,0,1,0
51,1029,2110,2051,1,0,0,0,0,0
52,1965,1017,1987,0,1,0,0,0,0
53,3052,2031,2019,0,0,0,1,0,0
54,2012,2090,3075,0,0,0,0,0,1
55,2891,1940,2115,0,0,0,1,0,0
56,2028,3096,2115,0,0,0,0,1,0
57,2062,1871,1043,0,0,1,0,0,0
58,1029,2071,2051,1,0,0,0,0,0
59,1988,1953,1059,0,0,1,0,0,0
60,3058,2082,2083,0,0,0,1,0,0
61,1984,3090,2051,0,0,0,0,1,0
62,3060,2046,2019,0,0,0,1,0,0
63,2081,3092,2115,0,0,0,0,1,0
64,1943,3126,2131,0,0,0,0,1,0
65,2061,2018,3075,0,0,0,0,0,1
66,1011,2109,2035,1,0,0,0,0,0
67,2032,3068,2051,0,0,0,0,1,0
68,1951,3056,2051,0,0,0,0,1,0
69,1987,3100,2099,0,0,0,0,1,0
70,2012,2013,3075,0,0,0,0,0,1
71,1988,3095,2163,0,0,0,0,1,0
72,1940,3179,2115,0,0,0,0,1,0
73,990,2052,2051,1,0,0,0,0,0
74,3105,1976,2083,0,0,0,1,0,0
75,1014,2078,2035,1,0,0,0,0,0
76,3090,2095,2035,0,0,0,1,0,0
77,1020,2101,2019,1,0,0,0,0,0
78,3056,2092,2067,0,0,0,1,0,0
79,2009,1993,3075,0,0,0,0,0,1
80,1976,3094,2083,0,0,0,0,1,0
81,2002,3102,2051,0,0,0,0,1,0
82,1986,997,1987,0,1,0,0,0,0
83,2001,3127,2147,0,0,0,0,1,0
84,1013,2116,2035,1,0,0,0,0,0
85,1974,1914,1027,0,0,1,0,0,0
86,3086,2052,2019,0,0,0,1,0,0
87,2033,3087,2115,0,0,0,0,1,0
88,2144,1977,3107,0,0,0,0,0,1
89,1021,2084,2035,1,0,0,0,0,0
90,2026,2027,1043,0,0,1,0,0,0
91,1996,1964,1027,0,0,1,0,0,0
92,3074,2115,2067,0,0,0,1,0,0
93,2014,2092,3075,0,0,0,0,0,1
94,2126,1947,3043,0,0,0,0,0,1
95,1910,3072,2083,0,0,0,0,1,0
96,1988,1029,1987,0,1,0,0,0,0
97,1999,1922,1043,0,0,1,0,0,0
98,3025,2081,2115,0,0,0,1,0,0
99,2079,1979,1027,0,0,1,0,0,0
100,3051,2057,2019,0,0,0,1,0,0
101,1013,2087,2035,1,0,0,0,0,0
102,2072,2060,3091,0,0,0,0,0,1
103,3046,2072,2067,0,0,0,1,0,0
104,1024,2064,2051,1,0,0,0,0,0
105,2015,1981,3059,0,0,0,0,0,1
106,1023,2092,2035,1,0,0,0,0,0
107,3053,2058,1987,0,0,0,1,0,0
108,1024,2100,2051,1,0,0,0,0,0
109,1962,1974,1059,0,0,1,0,0,0
110,2035,2015,1043,0,0,1,0,0,0
111,1984,1926,1043,0,0,1,0,0,0
112,2087,1928,3091,0,0,0,0,0,1
113,1021,2080,2051,1,0,0,0,0,0
114,2006,2009,3107,0,0,0,0,0,1
115,1915,1017,2003,0,1,0,0,0,0
116,1817,3066,2067,0,0,0,0,1,0
117,1981,1033,1987,0,1,0,0,0,0
118,3076,2088,2067,0,0,0,1,0,0
119,2083,1954,1043,0,0,1,0,0,0
120,1941,1032,1987,0,1,0,0,0,0
121,1900,3079,2051,0,0,0,0,1,0
122,1805,1734,1059,0,0,1,0,0,0
123,2039,3049,2131,0,0,0,0,1,0
124,1011,2180,2035,1,0,0,0,0,0
125,1023,2101,2019,1,0,0,0,0,0
126,2006,1913,1043,0,0,1,0,0,0
127,2042,1997,1043,0,0,1,0,0,0
128,1019,2092,2035,1,0,0,0,0,0
129,2083,1999,3075,0,0,0,0,0,1
130,1974,2045,1043,0,0,1,0,0,0
131,1916,3066,2003,0,0,0,0,1,0
132,2008,2003,3075,0,0,0,0,0,1
133,2038,1931,1043,0,0,1,0,0,0
134,3047,2095,2147,0,0,0,1,0,0
135,1960,1024,1987,0,1,0,0,0,0
136,2079,1984,3107,0,0,0,0,0,1
137,2061,1935,1043,0,0,1,0,0,0
138,1984,1922,1043,0,0,1,0,0,0
139,1040,2156,2019,1,0,0,0,0,0
140,2035,3057,2051,0,0,0,0,1,0
141,1025,2051,2067,1,0,0,0,0,0
142,2031,1931,1043,0,0,1,0,0,0
143,2032,2062,1027,0,0,1,0,0,0
144,2142,1960,1059,0,0,1,0,0,0
145,1981,1909,1027,0,0,1,0,0,0
146,1986,3065,2051,0,0,0,0,1,0
147,3073,2097,2099,0,0,0,1,0,0
148,2052,2026,3091,0,0,0,0,0,1
149,1942,3069,2131,0,0,0,0,1,0
150,3064,2125,2163,0,0,0,1,0,0
151,1018,2076,2067,1,0,0,0,0,0
152,3061,2109,2067,0,0,0,1,0,0
153,2032,1972,3091,0,0,0,0,0,1
154,1018,2076,2035,1,0,0,0,0,0
155,1997,3085,2099,0,0,0,0,1,0
156,1024,2073,2035,1,0,0,0,0,0
157,1028,2145,2035,1,0,0,0,0,0
158,3059,2044,2163,0,0,0,1,0,0
159,1023,2100,2035,1,0,0,0,0,0
160,2022,1961,1043,0,0,1,0,0,0
161,2016,1864,1059,0,0,1,0,0,0
162,2002,3095,2115,0,0,0,0,1,0
163,3028,2047,2115,0,0,0,1,0,0
164,2014,1982,3091,0,0,0,0,0,1
165,1026,2130,2051,1,0,0,0,0,0
166,1902,1868,1043,0,0,1,0,0,0
167,2045,2051,3075,0,0,0,0,0,1
168,1979,1939,1043,0,0,1,0,0,0
169,1896,3092,2051,0,0,0,0,1,0
170,2064,2019,3091,0,0,0,0,0,1
171,2073,2047,3107,0,0,0,0,0,1
172,1025,2111,2035,1,0,0,0,0,0
173,2069,2041,3107,0,0,0,0,0,1
174,1984,3103,2035,0,0,0,0,1,0
175,2107,1971,3075,0,0,0,0,0,1
176,1985,3070,2051,0,0,0,0,1,0
177,1044,2057,2019,1,0,0,0,0,0
178,1019,2054,2035,1,0,0,0,0,0
179,2112,1984,3075,0,0,0,0,0,1
180,1020,2069,2035,1,0,0,0,0,0
181,2023,1897,1027,0,0,1,0,0,0
182,1996,3074,2051,0,0,0,0,1,0
183,2043,1945,1043,0,0,1,0,0,0
184,2073,1872,1043,0,0,1,0,0,0
185,2015,1930,1043,0,0,1,0,0,0
186,2074,2023,1043,0,0,1,0,0,0
187,2102,1943,1059,0,0,1,0,0,0
188,2975,2107,2163,0,0,0,1,0,0
189,1018,2100,2035,1,0,0,0,0,0
190,1995,2011,3107,0,0,0,0,0,1
191,1985,3089,2115,0,0,0,0,1,0
192,1949,1017,2003,0,1,0,0,0,0
193,995,2065,2083,1,0,0,0,0,0
194,1070,2070,2083,1,0,0,0,0,0
195,3088,2036,2019,0,0,0,1,0,0
196,1994,1031,1987,0,1,0,0,0,0
197,1015,2078,2115,1,0,0,0,0,0
198,2193,2112,3091,0,0,0,0,0,1
199,1940,3049,2083,0,0,0,0,1,0
200,1024,2091,2083,1,0,0,0,0,0
201,1028,2050,2051,1,0,0,0,0,0
202,2063,2035,3091,0,0,0,0,0,1
203,1990,1017,2003,0,1,0,0,0,0
204,2014,1984,3075,0,0,0,0,0,1
205,3058,2060,2083,0,0,0,1,0,0
